,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
,"Monte Carlo Bounds for Game Options Including Convertible Bonds","Beveridge, Christopher and Joshi, Mark","MANAGEMENT SCIENCE","57","5","960-974","2011","MAY","Finance;Asset Pricing;Games-Group Decisions;Stochastic;Probability;Stochastic Model Applications;Monte Carlo Simulation;Bermudan Optionality","","We introduce two new methods to calculate bounds for zero-sum game options using Monte Carlo simulation. These extend and generalize upper-bound duality results to the case where both parties of a contract have Bermudan optionality. It is shown that the primal-dual simulation method can still be used as a generic way to obtain bounds in the extended framework, and we apply the new results to the pricing of convertible bonds by simulation."
,"Determinants and Outcomes of Internet Banking Adoption","Xue, Mei and Hitt, Lorin M. and Chen, Pei-yu","MANAGEMENT SCIENCE","57","2","291-307","2011","FEB","Internet Banking Adoption;Customer Efficiency;Network Effects","","This paper examines the drivers of adoption of Internet banking and the linkages among adoption drivers and outcomes (product acquisition, service activity, profitability, loyalty). We relate Internet banking adoption to customer demand for banking services, the availability of alternative channels, customers' efficiency in service coproduction (customer efficiency), and local Internet banking penetration. We find that customers who have greater transaction demand and higher efficiency, and reside in areas with a greater density of online banking adopters, are faster to adopt online banking after controlling for time, regional, and individual characteristics. Consistent with prior work, we find that customers significantly increase their banking activity, acquire more products, and perform more transactions. These changes in behavior are not associated with short-run increases in customer profitability, but customers who adopt online banking have a lower propensity to leave the bank. Building on these observations we also find that the adoption drivers are linked to the postadoption changes in behavior or profitability. Customers who live in areas with a high branch density or high Internet banking penetration increase their product acquisition and transaction activity more than Internet banking adopters in other regions. Efficient customers and those with high service demand show greater postadoption profitability."
,"Recruiting for Ideas: How Firms Exploit the Prior Inventions of New Hires","Singh, Jasjit and Agrawal, Ajay","MANAGEMENT SCIENCE","57","1","129-150","2011","JAN","Inventor Mobility;Access To Ideas;Knowledge Spillovers;Learning By Hiring;Difference In Differences;Coarsened Exact Matching;Collaborative Networks;Patent Citations","","When firms recruit inventors, they acquire not only the use of their skills but also enhanced access to their stock of ideas. But do hiring firms actually increase their use of new recruits' prior inventions? Our estimates suggest they do, quite significantly in fact, by approximately 219% on average. However, this does not necessarily reflect widespread learning by hiring. In fact, we estimate that a recruit's exploitation of her own prior ideas accounts for almost half of the above effect, with much of the diffusion to others being limited to the recruit's immediate collaborative network. Furthermore, although one might expect the recruit's role to diminish rapidly as her tacit knowledge diffuses across her new firm, our estimates indicate that her importance is surprisingly persistent over time. We base these findings on an empirical strategy that exploits the variation over time in hiring firms' citations to the recruits' premove patents. Specifically, we employ a difference-indifferences approach to compare premove versus postmove citation rates for the recruits' prior patents and corresponding matched-pair control patents. Our methodology has three benefits compared to previous studies that also examine the link between labor mobility and knowledge flow: (1) it does not suffer from the upward bias inherent in the conventional cross-sectional comparison, (2) it generates results that are robust to a more stringently matched control sample, and (3) it enables a temporal examination of knowledge flow patterns."
,"Gaining Access by Doing Good: The Effect of Sociopolitical Reputation on Firm Participation in Public Policy Making","Werner, Timothy","MANAGEMENT SCIENCE","61","8","1989-2011","2015","AUG","Reputation;Resource Dependency;Nonmarket Strategy;Corporate Social Responsibility","","This paper examines the role of firms' sociopolitical reputations, as proxied by their perceived engagement in socially responsible practices, in public policy makers' decisions to grant access in the policy-making process. I argue that policy makers' dependencies, motivations, and decision-making processes lead them to evaluate firms by using sociopolitical reputation as a differentiating heuristic. I hypothesize that firms that construct stronger sociopolitical reputations will be granted greater access and that firms' existing political activity and policy makers' partisanship will moderate this relationship. I test these hypotheses using an 11-year panel on congressional testimony, reputation, and political and financial characteristics for the S&P 500 and find support for all three. These findings support the existence of a sociopolitical dimension to firms' reputations that affects how public policy makers evaluate firms, demonstrating that corporate social responsibility pays political benefits."
,"Corporate Transparency and the Impact of Investor Sentiment on Stock Prices","Firth, Michael and Wang, Kailong (Philip) and Wong, Sonia M. L.","MANAGEMENT SCIENCE","61","7","1630-1647","2015","JUL","Investor Sentiment;Stock Prices;Corporate Transparency;China;Emerging Markets","","Using China's stock market as the testing venue, this study examines how corporate transparency helps explain the sensitivity of stock prices to general investor sentiment. We find that firms with low corporate transparency, measured by a battery of proxies including state ownership, the prevalence of related party transactions, accrual-based earnings management, audit opinions, and the quality of audit firms, are more affected by investor sentiment than are firms with high corporate transparency. Overall, our findings highlight the importance of corporate transparency in mitigating the effects of investor sentiment on stock prices."
,"Interpersonal Bundling","Chen, Yongmin and Zhang, Tianle","MANAGEMENT SCIENCE","61","6","1456-1471","2015","JUN","Interpersonal Bundling;Bundling;Group Purchase;Group Discount;Demand Uncertainty","","This paper studies a model of interpersonal bundling, in which a monopolist offers a good for sale under a regular price and a group purchase discount if the number of consumers in a group-the bundle size-belongs to some menu of intervals. We find that this is often a profitable selling strategy in response to demand uncertainty, and it can achieve the highest profit among all possible selling mechanisms. We explain how the profitability of interpersonal bundling with a minimum or maximum group size may depend on the nature of uncertainty and on parameters of the market environment, and we discuss strategic issues related to the optimal design and implementation of these bundling schemes. Our analysis sheds light on popular marketing practices such as group purchase discounts, and it offers insights on potential new marketing innovation."
,"Real Options and American Derivatives: The Double Continuation Region","Battauz, Anna and De Donno, Marzia and Sbuelz, Alessandro","MANAGEMENT SCIENCE","61","5","1094-1107","2015","MAY","American Options;Valuation;Optimal Exercise;Real Options;Gold Loan;Collateralized Borrowing;Asymptotic Approximation Of The Free Boundary;Put-Call Symmetry","","We study the nonstandard optimal exercise policy associated with relevant capital investment options and with the prepayment option of widespread collateralized-borrowing contracts like the gold loan. Option exercise is optimally postponed not only when moneyness is insufficient, but also when it is excessive. We extend the classical optimal exercise properties for American options. Early exercise of an American call with a negative underlying payout rate can occur if the option is moderately in the money. We fully characterize the existence, the monotonicity, the continuity, the limits, and the asymptotic behavior at maturity of the double free boundary that separates the exercise region from the double continuation region. We find that the finite-maturity nonstandard policy conspicuously differs from the infinite-maturity one."
,"Keyword Search Advertising and First-Page Bid Estimates: A Strategic Analysis","Amaldoss, Wilfred and Desai, Preyas S. and Shin, Woochoel","MANAGEMENT SCIENCE","61","3","507-519","2015","MAR","First-Page Bid Estimate;Advertiser-Specific Minimum Bid;Generalized Second-Price Auction;Keyword Search Advertising;Two-Sided Markets","","In using the generalized second-price (GSP) auction to sell advertising slots, a search engine faces several challenges. Advertisers do not truthfully bid their valuations, and the valuations are uncertain. Furthermore, advertisers are budget constrained. In this paper we analyze a stylized model of the first-page bid estimate (FPBE) mechanism first developed by Google and demonstrate its advantages in dealing with these challenges. We show why and when the FPBE mechanism yields higher profits for the search engine compared with the traditional GSP auction and the GSP auction with advertiser-specific minimum bid. In the event that a high-valuation advertiser is budget constrained, the search engine can use the FPBE mechanism to alter the listing order with the intent of keeping the high-valuation advertiser in the auction for a longer time. The resulting increase in the search engine's profits is not necessarily at the expense of the advertisers because the combined profits of the advertisers and the search engine increase."
,"The Effect of Content on Global Internet Adoption and the Global Digital Divide","Viard, V. Brian and Economides, Nicholas","MANAGEMENT SCIENCE","61","3","665-686","2015","MAR","Internet;Technology Adoption;Economic Development;Two-Sided Markets;Network Effects;Technology Diffusion;Digital Divide;Language","","A country's human capital and economic productivity increasingly depend on the Internet as a result of its expanding role in providing information and communications. This has prompted a search for ways to increase Internet adoption and narrow its disparity across countries-the global digital divide. Previous work has focused on demographic, economic, and infrastructure determinants of Internet access that are difficult to change in the short run. Internet content increases adoption and can be changed more quickly; however, the magnitude of its impact, and therefore its effectiveness as a policy and strategy tool, has until now been unknown. Quantifying the role of content is challenging because of feedback (network effects) between content and adoption: more content stimulates adoption, which in turn increases the incentive to create content. We develop a methodology to overcome this endogeneity problem. We find a statistically and economically significant effect, implying that policies promoting content creation can substantially increase adoption. Because it is ubiquitous, Internet content is also useful to effect social change across countries. Content has a greater effect on adoption in countries with more disparate languages, making it a useful tool to overcome linguistic isolation. Our results offer guidance for policymakers on country characteristics that influence adoption's responsiveness to content and for Internet firms on where to expand internationally and how to quantify content investments."
,"Dynamic Commercialization Strategies for Disruptive Technologies: Evidence from the Speech Recognition Industry","Marx, Matt and Gans, Joshua S. and Hsu, David H.","MANAGEMENT SCIENCE","60","12","3103-3123","2014","NOV","Technology Commercialization Strategy;Disruptive Innovation","","When start-up innovation involves a potentially disruptive technology-initially lagging in the predominant performance metric, but with a potentially favorable trajectory of improvement-incumbents may be wary of engaging in cooperative commercialization with the start-up. While the prevailing theory of disruptive innovation suggests that this will lead to (exclusively) competitive commercialization and the eventual replacement of incumbents, we consider a dynamic strategy involving product market entry before switching to a cooperative commercialization strategy. Empirical evidence from the automated speech recognition industry from 1952 to 2010 confirms our main hypothesis."
,"Do Parents Matter? Effects of Lender Affiliation Through the Mortgage Boom and Bust","Gartenberg, Claudine","MANAGEMENT SCIENCE","60","11","2776-2793","2014","NOV","Corporate Finance;Financial Institutions;Banks;Organization Studies;Strategy;Real Estate","","It is widely acknowledged that the 2007 mortgage crisis was preceded by a broad deterioration in underwriting diligence. This paper shows that this deterioration varied by the industry affiliation of mortgage lenders. Loans issued by homebuilders and stand-alone lenders were significantly less likely to default than loans issued by depository banks and affiliates of major financial institutions. I argue that homebuilders and stand-alone lenders had the least financial capacity to hold mortgages, and their resulting need to sell loans quickly on the secondary market forced them to issue safer loans. Tests of other explanations, including differences in information and incentives to avoid foreclosure externalities, receive little support. This study highlights a novel means by which firm boundaries influence firm adaptation to changing market conditions by defining the boundaries of the internal capital markets and hence the relative constraints of constituent units."
,"Marriage and Managers' Attitudes to Risk","Roussanov, Nikolai and Savor, Pavel","MANAGEMENT SCIENCE","60","10","2496-2508","2014","OCT","Marriage;Risk;Ceo;Investment;Volatility;Divorce","","Marital status can both reflect and affect individual preferences. We explore the impact of marriage on corporate chief executive officers (CEOs) and find that firms run by single CEOs exhibit higher stock return volatility, pursue more aggressive investment policies, and do not respond to changes in idiosyncratic risk. These effects are weaker for older CEOs. Our findings continue to hold when we use variation in divorce laws across states to instrument for CEO marital status, which supports the hypothesis that marriage itself drives choices rather than it just reflecting innate heterogeneity in preferences. We explore various potential explanations for why single CEOs may be less risk averse. Data, as supplemental material, are available at http://dx.doi.org/10.1287/mnsc.2014.1926."
,"Commissions and Sales Targets Under Competition","Gallego, Guillermo and Talebian, Masoud","MANAGEMENT SCIENCE","60","9","2180-2197","2014","SEP","Provider-Broker Competition;Contract Theory;Quantity Discount;Game Theory","","We consider a game between two capacity providers that compete for customers through a broker who earns commissions on sales and sells to both loyal and nonloyal customers. The providers compete by selecting commission margins and sales targets above which the margins on total sales increase. We study the contract form in equilibrium and the effect that sales targets have on the profit split between the providers and the broker. We show that in equilibrium, contracts require positive sales targets that can be best described as a mechanism for the larger provider to profit at the expense of the smaller provider. The effect of sales targets is different when commission margins are exogenous and the providers compete by setting targets. In this case, it is the low-margin provider who benefits from sales targets at the expense of the broker, who in this context resists the imposition of targets."
,"Financial Literacy, Financial Education, and Downstream Financial Behaviors","Fernandes, Daniel and Lynch, Jr., John G. and Netemeyer, Richard G.","MANAGEMENT SCIENCE","60","8","1861-1883","2014","AUG","Behavioral Economics;Household Finance;Consumer Behavior;Education Systems;Public Policy;Government Programs;Statistics;Causal Effects;Design Of Experiments;Meta-Analysis;Financial Education;Financial Literacy","","Policy makers have embraced financial education as a necessary antidote to the increasing complexity of consumers' financial decisions over the last generation. We conduct a meta-analysis of the relationship of financial literacy and of financial education to financial behaviors in 168 papers covering 201 prior studies. We find that interventions to improve financial literacy explain only 0.1% of the variance in financial behaviors studied, with weaker effects in low-income samples. Like other education, financial education decays over time; even large interventions with many hours of instruction have negligible effects on behavior 20 months or more from the time of intervention. Correlational studies that measure financial literacy find stronger associations with financial behaviors. We conduct three empirical studies, and we find that the partial effects of financial literacy diminish dramatically when one controls for psychological traits that have been omitted in prior research or when one uses an instrument for financial literacy to control for omitted variables. Financial education as studied to date has serious limitations that have been masked by the apparently larger effects in correlational studies. We envisage a reduced role for financial education that is not elaborated or acted upon soon afterward. We suggest a real but narrower role for just-in-time financial education tied to specific behaviors it intends to help. We conclude with a discussion of the characteristics of behaviors that might affect the policy maker's mix of financial education, choice architecture, and regulation as tools to help consumer financial behavior."
,"Money Talks: Rebate Mechanisms in Reputation System Design","Li, Lingfang (Ivy) and Xiao, Erte","MANAGEMENT SCIENCE","60","8","2054-2072","2014","AUG","Reputation;Trust;Feedback Mechanism;Asymmetric Information;Public Good;Experimental Economics","","Reputation systems that rely on voluntary feedback from traders are important in creating and sustaining trust in markets. Feedback nevertheless is a public good, and providing it is often costly. We combine theory with a laboratory experiment to study the effect of a seller precommitment mechanism: Sellers have an option to commit by providing a rebate to reduce the buyer's feedback reporting cost before making purchasing decisions. Our theory predicts that this mechanism induces noncooperative sellers to cooperate in the listed-price market. Using a buyer-seller trust game with a unilateral feedback scheme, we find that the seller's rebate decision has a significant impact on the buyer's purchasing decision via signaling the seller's cooperative type. More importantly, market efficiency under the precommitment mechanism increases with the probability that sellers will provide a rebate. Compared with the no rebate mechanism market, more efficient trades can be achieved when the sellers offer a rebate to the buyers in the market with the rebate mechanism, even when the rebate does not cover the full cost of feedback reporting."
,"Wallflowers: Experimental Evidence of an Aversion to Standing Out","Jones, Daniel and Linardi, Sera","MANAGEMENT SCIENCE","60","7","1757-1771","2014","JUL","Economics;Behavior And Behavioral Decision Making;Organizational Studies;Motivation-Incentives;Microeconomic Behavior","","An extensive literature on reputation signaling in prosocial settings has focused on an intrinsic desire for positive reputation. In this paper, we provide experimental evidence that some individuals are averse to both positive and negative reputation and will therefore respond to visibility by signaling that they are an '' average altruism type '' relative to their audience. We formalize our hypotheses about '' wallflower '' behavior in a theoretical model. Our experimental results show that instead of uniformly increasing contributions, visibility draws contributions toward the middle of others' contributions. As a result, visibility is associated with higher levels of giving only in scenarios where others are giving a large amount. We also observe heterogeneity in reputation concerns: wallflower behavior is particularly strong for women and can be observed in several different settings."
,"Integration of Online and Offline Channels in Retail: The Impact of Sharing Reliable Inventory Availability Information","Gallino, Santiago and Moreno, Antonio","MANAGEMENT SCIENCE","60","6, SI","1434-1451","2014","JUN","Retail Operations;Inventory Availability;Empirical Operations Management;Business Analytics;Online Retail;Ecommerce","","Using a proprietary data set, we analyze the impact of the implementation of a buy-online, pick-up-in-store (BOPS) project. The implementation of this project is associated with a reduction in online sales and an increase in store sales and traffic. These results can be explained by two simultaneous phenomena: (1) additional store sales from customers who use the BOPS functionality and buy additional products in the stores (cross-selling effect) and (2) the shift of some customers from the online to the brick-and-mortar channel and the conversion of noncustomers into store customers (channel-shift effect). We explain these channel-shift patterns as an increase in research online, purchase offline behavior enabled by BOPS implementation, and we validate this explanation with evidence from the change of cart abandonment and conversion rates of the brick-and-mortar and online channels. We interpret these results in light of recent operations management literature that analyzes the impact of sharing inventory availability information. Our analysis illustrates the limitations of drawing conclusions about complex interventions using single-channel data."
,"Working Harder or Hardly Working? Posting Performance Eliminates Social Loafing and Promotes Social Laboring in Workgroups","Lount, Jr., Robert B. and Wilk, Steffanie L.","MANAGEMENT SCIENCE","60","5","1098-1106","2014","MAY","Organizational Studies;Effectiveness Performance;Motivation;Productivity","","The current paper examines how posting performance-an act that triggers increased social comparisons between workers-influences employees' motivation when working in groups. In the study, posting employee performance moderated the relationship between groupwork and employee motivation. When individual performance was publicly posted in the workplace, employees working in a group performed better than when working alone (i.e., social laboring); however, when individual performance was not posted, employees working in a group performed worse than when working alone (i.e., social loafing). The findings shed light on how social comparisons can have positive implications for employee performance in groups."
,"Economic Uncertainty, Disagreement, and Credit Markets","Buraschi, Andrea and Trojani, Fabio and Vedolin, Andrea","MANAGEMENT SCIENCE","60","5","1281-1296","2014","MAY","Credit Risk;Credit Spreads;Heterogeneous Beliefs;Uncertainty","","We study how the equilibrium risk sharing of agents with heterogeneous perceptions of aggregate consumption growth affects bond and stock returns. Although credit spreads and their volatilities increase with the degree of heterogeneity, the decreasing risk premium on moderately levered equity can produce a violation of basic capital structure no-arbitrage relations. Using bottom-up proxies of aggregate belief dispersion, we give empirical support to the model predictions and show that risk premia on corporate bond and stock returns are systematically explained by their exposures to aggregate disagreement shocks."
,"Don't Ask Me If You Will Not Listen: The Dilemma of Consultative Participation","Corgnet, Brice and Hernan Gonzalez, Roberto","MANAGEMENT SCIENCE","60","3","560-585","2014","MAR","Organizational Behavior;Participative Decision Making;Principal-Agent Model","","We study the effect of consultative participation in an experimental principal-agent game, where the principal can consult the agent's preferred option regarding the cost function of the transfer to be implemented in the final stage of the game. We show that consulting the agent was beneficial to principals as long as they followed the agent's choice. Ignoring the agent's choice was detrimental to the principal because it engendered negative emotions and low levels of transfers. Nevertheless, the majority of principals were reluctant to change their mind and adopt the agent's proposal. Our results suggest that the ability to change one's own mind is an important dimension of managerial success."
,"How Do Industry Peers Respond to Control Threats?","Servaes, Henri and Tamayo, Ane","MANAGEMENT SCIENCE","60","2","380-399","2014","FEB","Hostile Takeover;Agency Costs;Investment Decisions;Capital Structure","","This paper studies how industry peers respond when another firm in the industry is the subject of a hostile takeover attempt. The industry peers cut their capital spending, free cash flows, and cash holdings, and increase their leverage and payouts to shareholders. They also adopt more takeover defenses. The stock price reaction upon announcement of the takeover is positive and larger for peer firms with higher capital spending and higher free cash flows. Before the takeover attempt, the peer firms borrow less and invest more than predicted. Both stock returns and performance improve after the takeover attempt. These results are consistent with the argument that the control threat has important spillover effects for the other firms in the industry."
,"Analyst Recommendations, Mutual Fund Herding, and Overreaction in Stock Prices","Brown, Nerissa C. and Wei, Kelsey D. and Wermers, Russ","MANAGEMENT SCIENCE","60","1","1-20","2014","JAN","Mutual Fund Herding;Analyst Recommendations;Return Reversals;Managerial Myopia","","This paper documents that mutual funds herd (trade together) into stocks with consensus sell-side analyst upgrades, and herd out of stocks with consensus downgrades. This influence of analyst recommendation changes on fund herding is stronger for downgrades, and among managers with greater career concerns. These findings indicate that career-concerned managers are incentivized to follow analyst information, and that managers have a greater tendency to herd on negative stock information, given the greater reputational and litigation risk of holding losing stocks. Furthermore, starting in the mid-1990s (when aggregate mutual fund equity ownership is significantly higher), stocks traded by career-concerned herds of fund managers in response to analyst recommendation changes experience a significant same-quarter price impact, followed by a sharp subsequent price reversal. Our evidence suggests that analyst recommendation revisions induce herding by career-concerned fund managers, and that this type of trading has become price destabilizing with the increasing level of mutual fund ownership of stocks."
,"Consumer Favorites and the Design of News","Xiang, Yi and Soberman, David","MANAGEMENT SCIENCE","60","1","188-205","2014","JAN","Information Processing;Media Competition;Game Theory","","The objective of this paper is to better understand the factors that competitive news providers consider to design or deliver news programmes. The focus is broadcast news where, in any programming time period, a viewer watches (or consumes) one programme. We assume that each viewer is interested in a limited set of topics and that her utility only comes from the most interesting news she observes. The key questions we address are as follows: (a) Should firms adopt designs that facilitate the delivery of more information in their news programmes? (b) Does the decision of firms to implement such strategies depend on the complexity of the news programme (i.e., the number of news stories covered in the news product)? (c) How do such strategies influence competition? We show that firms may or may not benefit by providing better-designed news. The incentive to do this is strongly affected by the complexity of the news product and the intensity of competition between news providers."
,"Missing Links: Referrer Behavior and Job Segregation","Rubineau, Brian and Fernandez, Roberto M.","MANAGEMENT SCIENCE","59","11","2470-2489","2013","NOV","Organizational Studies;Personnel;Simulation;Applications;Behavior;Labor;Referral Networks;Screening","","The importance of networks in labor markets is well known, and their job-segregating effects in organizations is a given. Conventional wisdom attributes this segregation to the homophilous nature of contact networks, and leaves little role for organizational influences. Yet employee referrals are necessarily initiated within a firm by employee referrers subject to organizational policies. We build theory regarding the role of referrers in the segregating effects of network recruitment. Using mathematical and computational models, we investigate how empirically documented referrer behaviors affect job segregation. We show that referrer behaviors can segregate jobs beyond the effects of homophilous network recruitment. Furthermore, and contrary to past understandings, we show that referrer behaviors can also mitigate most, if not all, of the segregating effects of network recruitment. Although largely neglected in previous labor market network scholarship, referrers are the missing links revealing opportunities for organizations to influence the effects of network recruitment."
,"License to Cheat: Voluntary Regulation and Ethical Behavior","Gino, Francesca and Krupka, Erin L. and Weber, Roberto A.","MANAGEMENT SCIENCE","59","10","2187-2203","2013","OCT","Ethical Behavior;Dishonesty;Regulation;Selection;Social Norms","","Although monitoring and regulation can be used to combat socially costly unethical conduct, their intended targets can often avoid regulation or hide their behavior. This surrenders at least part of the effectiveness of regulatory policies to firms' and individuals' decisions to voluntarily submit to regulation. We study individuals' decisions to avoid monitoring or regulation and thus enhance their ability to engage in unethical conduct. We conduct a laboratory experiment in which participants engage in a competitive task and can decide between having the opportunity to misreport their performance or having their performance verified by an external monitor. To study the effect of social factors on the willingness to be subject to monitoring, we vary whether participants make this decision simultaneously with others or sequentially, as well as whether the decision is private or public. Our results show that the opportunity to avoid being submitted to regulation produces more unethical conduct than situations in which regulation is either exogenously imposed or entirely absent."
,"Is Pay for Performance Detrimental to Innovation?","Ederer, Florian and Manso, Gustavo","MANAGEMENT SCIENCE","59","7","1496-1513","2013","JUL","Organizational Studies;Motivation Incentives;Personnel;Research And Development;Innovation","","Previous research in economics shows that compensation based on the pay-for-performance principle is effective in inducing higher levels of effort and productivity. On the other hand, research in psychology argues that performance-based financial incentives inhibit creativity and innovation. How should managerial compensation be structured if the goal is to induce managers to pursue more innovative business strategies? In a controlled laboratory setting, we provide evidence that the combination of tolerance for early failure and reward for long-term success is effective in motivating innovation. Subjects under such an incentive scheme explore more and are more likely to discover a novel business strategy than subjects under fixed-wage and standard pay-for-performance incentive schemes. We also find evidence that the threat of termination can undermine incentives for innovation, whereas golden parachutes can alleviate these innovation-reducing effects."
,"Entrepreneurs Under Uncertainty: An Economic Experiment in China","Holm, Hakan J. and Opper, Sonja and Nee, Victor","MANAGEMENT SCIENCE","59","7","1671-1687","2013","JUL","Economics;Behavior And Behavioral Decision Making;Decision Analysis Risk;Microeconomic Behavior","","This study reports findings from the first large-scale experiment investigating whether entrepreneurs differ 1 from other people in their willingness to expose themselves to various forms of uncertainty. A stratified random sample of 700 chief executive officers from the Yangzi delta region in China is compared to 200 control group members. Our findings suggest that in economic decisions, entrepreneurs are more willing to accept strategic uncertainty related to multilateral competition and trust. However, entrepreneurs do not differ from ordinary people when it comes to nonstrategic forms of uncertainty, such as risk and ambiguity."
,"An Axiomatic Approach to Systemic Risk","Chen, Chen and Iyengar, Garud and Moallemi, Ciamac C.","MANAGEMENT SCIENCE","59","6","1373-1388","2013","JUN","Systemic Risk;Risk Measures;Contagion;Risk Attribution","","Systemic risk refers to the risk of collapse of an entire complex system as a result of the actions taken by the individual component entities or agents that comprise the system. Systemic risk is an issue of great concern in modern financial markets as well as, more broadly, in the management of complex business and engineering systems. We propose an axiomatic framework for the measurement and management of systemic risk based on the simultaneous analysis of outcomes across agents in the system and over scenarios of nature. Our framework defines a broad class of systemic risk measures that accomodate a rich set of regulatory preferences. This general class of systemic risk measures captures many specific measures of systemic risk that have recently been proposed as special cases and highlights their implicit assumptions. Moreover, the systemic risk measures that satisfy our conditions yield decentralized decompositions; i.e., the systemic risk can be decomposed into risk due to individual agents. Furthermore, one can associate a shadow price for systemic risk to each agent that correctly accounts for the externalities of the agent's individual decision making on the entire system."
,"Investor Sentiment, Disagreement, and the Breadth-Return Relationship","Cen, Ling and Lu, Hai and Yang, Liyan","MANAGEMENT SCIENCE","59","5","1076-1091","2013","MAY","Investor Sentiment;Disagreement;Breadth Of Ownership;Cross-Sectional Stock Returns","","We study the cross-sectional breadth-return relation by assuming that investors subject to market sentiment hold a biased belief in the aggregate. With a dynamic multiasset model, we predict that the breadth-return relationship can be either positive or negative depending on the relative strength of two offsetting forces-disagreement and sentiment. We find evidence consistent with our predictions. The breadth-return relationship is positive when the sentiment effect is small. However, the relationship becomes negative when (i) the time-series variation of market-wide sentiment is high and (ii) the cross-sectional dispersion of firm-specific exposure to market-wide sentiment variation is large. Our unified framework reconciles a few seemingly inconsistent empirical studies in this literature and explains puzzling cross-sectional return patterns observed during the Internet bubble and the subprime crisis periods."
,"Newsvendor Demand Chasing Revisited","Lau, Nelson and Bearden, J. Neil","MANAGEMENT SCIENCE","59","5","1245-1249","2013","MAY","Behavioral Operations;Econometric Analysis;Experiments;Newsvendor;Demand Chasing","","Existing research. on newsvendor behavior asserts that individuals engage in demand chasing adjusting their order quantities towards prior demand. Several metrics have been used to identify this heuristic. By simulation, current metrics are shown to yield excessive false positives, indicating demand chasing when the true order generating process is independent of prior demand. A simple correlation measure does not suffer from this problem and is proposed here as an alternative to some of the more commonly used measures."
,"Failure and Rescue in an Interbank Network","Rogers, L. C. G. and Veraart, L. A. M.","MANAGEMENT SCIENCE","59","4","882-898","2013","APR","Contagion;Interbank Network;Bank Failure;Merger","","This paper is concerned with systemic risk in an interbank market, modelled as a directed graph of interbank obligations. This builds on the modelling paradigm of Eisenberg and Noe [Eisenberg L, Noe TH (2001) Systemic risk in financial systems. Management Sci. 47(2):236-249] by introducing costs of default if loans have to be called in by a failing bank. This immediately introduces novel and realistic effects. We find that, in general, many different clearing vectors can arise, among which there is a greatest clearing vector, arrived at by letting banks fail in succession until only solvent banks remain. Such a collapse should be prevented if at all possible. We then study situations in which consortia of banks may have the means and incentives to rescue failing banks. This again departs from the conclusions of the earlier work of Eisenberg and Noe, where in the absence of default losses there would be no incentive for solvent banks to rescue failing banks. We conclude with some remarks about how a rescue consortium might be constructed."
Not relevant,"Statistical Database Auditing Without Query Denial Threat","Lu, Haibing and Vaidya, Jaideep and Atluri, Vijayalakshmi and Li, Yingjiu","INFORMS JOURNAL ON COMPUTING","27","1","20-34","2015","WIN","Statistical Database;Privacy;Auditing;Query Denial;Optimization","","Statistical database auditing is the process of checking aggregate queries that are submitted in a continuous manner, to prevent inference disclosure. Compared to other data protection mechanisms, auditing has the features of flexibility and maximum information. Auditing is typically accomplished by examining responses to past queries to determine whether a new query can be answered. It has been recognized that query denials release information and can cause data disclosure. This paper proposes an auditing mechanism that is free of query denial threat and applicable to mixed types of aggregate queries, including sum, max, min, deviation, etc. The core ideas are (i) deriving the complete information leakage from each query denial and (ii) carrying the complete leaked information derived from past answered and denied queries to audit each new query. The information leakage deriving problem can be formulated as a set of parametric optimization programs, and the whole auditing process can be modeled as a series of convex optimization problems."
,"Mathematical Programming Formulations and Algorithms for Discrete k-Median Clustering of Time-Series Data","Seref, Onur and Fan, Ya-Ju and Chaovalitwongse, Wanpracha Art","INFORMS JOURNAL ON COMPUTING","26","1","160-172","2014","WIN","Clustering;Optimization;Discrete K-Median;Mixed-Integer Programming;Uncoupled Bilinear Program Algorithm;Sequential Optimization;Time Series","","Discrete k-median (DKM) clustering problems arise in many real-life applications that involve time-series data sets, in which nondiscrete clustering methods may not represent the problem domain adequately. In this study, we propose mathematical programming formulations and solution methods to efficiently solve the DKM clustering problem. We develop approximation algorithms from a bilinear formulation of the discrete k-median problem using an uncoupled bilinear program algorithm. This approximation algorithm, which we refer to as DKM-L, is composed of two alternating linear programs, where one can be solved in linear time and the other is a minimum cost assignment problem. We then modify this algorithm by replacing the assignment problem with an efficient sequential algorithm for a faster approximation, which we call DKM-S. We also propose a compact exact integer formulation, DKM-I, and a more efficient network design-based exact mixed-integer formulation, DKM-M. All of our methods use arbitrary pairwise distance matrices as input. We apply our methods to simulated single-variate and multivariate random walk time-series data. We report comparative clustering performances using normalized mutual information (NMI) and solution speeds among the DKM methods we propose. We also compare our methods to other clustering algorithms that can operate with distance matrices, such as hierarchical cluster trees (HCT) and partition around medoids (PAM). We present NMI scores and classification accuracies of our DKM algorithms compared to HCT and PAM using five different distance measures on simluated data, as well as public benchmark and real-life neural time-series data sets. We show that DKM-S is much faster than HCT, PAM, and all other DKM methods and produces consistently good clustering results on all data sets."
